id,location,text,target
1364679,"the waveney valley, s. norfolk",RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364680,,RT @Jimcorrsays: This is what is planned if YOU let them away with it https://t.co/9bc0Ybi2Qg,0
1364681,"Illinois, USA","RT @MrsPerrin: 25 year old man tests positive for #Covid_19 a second time after recovery.
 #Reinfection
https://t.co/MbTS0NGdE7",1
1364682,"Bruzaholm, Sweden",RT @Jimcorrsays: This is what is planned if YOU let them away with it https://t.co/9bc0Ybi2Qg,0
1364683,"Chattanooga, TN","RT @IsendeB: @realDonaldTrump https://t.co/fPeEP1zoDm

https://t.co/JvXy6ugFQx

https://t.co/Plce6zQPVz

 https://t.co/QDI7YoogGE

 https:/…",1
1364684,,"RT @IndustriALL_GU: Geneva to introduce minimum wage of £3,500 a month https://t.co/nb5onMr6UA",0
1364685,,New York City's daily positivity rate tops 3% amid 'alarming increase' in COVID-19 cases 🇺🇸 #coronavirusnewyork #NewYorkCity #COVID19 #SocialDistancing https://t.co/3EGeat8r2z https://t.co/dAOIUuZWhX,1
1364686,,RT @guardian: Germans embrace fresh air to ward off coronavirus https://t.co/J4HT5KabdA,0
1364687,"München, Bayern",Germans embrace fresh air to ward off coronavirus 🥶💨❄️https://t.co/H3nZsXHwPb,0
1364688,"Cville, VA/Philly, PA","@ehartman1975 @AtMelemrva @JessLeeEsq @DrJamesLane @ccpsinfo Sure! https://t.co/rZjglJEspm and this seems to be on-going https://t.co/sT9n0XmPMx 

It seems worth noting the CCPS survey did not break down responses by race or any other demographic.",1
1364689,"Mississauga,Ontario,Canada","Geneva to introduce minimum wage of £3,500 a month https://t.co/ujxtu3gXxJ",0
1364690,"Ленинский район, Россия","Chinese manufacturing activity continues to expand, recovering from Covid crisis https://t.co/jf3uI8MPxO",0
1364691,United Kingdom 🇬🇧,"Britain is doing more than most to help poor get coronavirus vaccine, study finds

Campaign scoring countries for global access efforts calls for more British transparency

 https://t.co/kqNp1KqDDp",0
1364692,,"we really lost having british citizenship you know 
https://t.co/asHnkBfCvm",0
1364693,,"Disney Lays Off 28,000 Workers, 67% Are Part-Time Employees https://t.co/1USiHiHcOf",1
1364694,,New Coronavirus Clusters Appear In New York City https://t.co/hkYMEh5NMz,1
1364695,,"@Walkabout24 Oh and ref ""RUSHED"" COVID vaccine be prepared to take ownership of your choices if things go wrong, as you wont be able to make the vaccine compamy accountable....
https://t.co/Kw2OQYe3Ka",0
1364696,,"No jab, no movement? UK MP pushes mandatory Covid-19 vaccination for travel, suggests army should oversee rollout — RT UK News https://t.co/YsmmDBQR6c",0
1364697,Shortlands Bromley,Coronavirus live news: 60m Indians may have contracted Covid; Disney announces mass layoffs https://t.co/WSmseFrCTQ #travel #news,0
1364698,,"The far right is where Trump gets his energy from how can he be critical of them.

https://t.co/G7I981vsu8",0
1364699,East Texas,https://t.co/1jBPPad9Vl,0
1364700,Concepción del Uruguay,"Trudeau pledges tax on 'extreme wealth inequality' to fund Covid spending plan | Canada | The Guardian https://t.co/tyRewV6cVu",0
1364701,"Bremerton, WA","Time to re-up this thread on need to adjust for impacts of COVID on marginalized #STEM groups in with this new NPR segment - are we actually adjusting, or just waiting for normal?

https://t.co/UMJ5MUrStk https://t.co/D9bw7HiWfB",1
1364702,"Menlo Park, CA","""In an overdispersed regime, identifying transmission events (someone infected someone else) is more important than identifying infected individuals.""   https://t.co/yKYWd0OSj3",1
1364703,"London, England",RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364704,,@imgrund @DFisman  Thoughts on this new article suggesting focusing on cluster busting and backwards contact tracing. The author was very early on pushing masks and ventilation. https://t.co/n7SDiPFMHr,1
1364705,"England, United Kingdom","👇👇
https://t.co/NVeQnoVl7b",0
1364706,,"RT @ncweaver: An excellent piece from @zeynep on just how critical super-spreaders are in Covid:
https://t.co/ITHHdBH2Jl",1
1364707,Montreal/Toronto/??????,"A dense read, but incredibly interesting. https://t.co/Z6UoIB2j81",1
1364708,Earth,"RT @Love_Nature2020: 👇👇
https://t.co/NVeQnoVl7b",0
1364709,No shills/puppets/trolls.,https://t.co/uzmQRrUznv https://t.co/fVWsOvdkPO,0
1364710,,"@motbilder @Telegraph Oh yes he did. 
https://t.co/gjK0rN5zb2 https://t.co/d0ZWYAE8Uo",0
1364711,"Chesapeake Bay, USA","By now many people have heard about R0. But to really understand the mysteries of the pandemic, @zeynep writes, we need to think about a different variable: k. https://t.co/Us1RCjwGd4",1
1364712,,RT @Censelio: 👀 Cómo la genética reveló un brote secreto de coronavirus en Iowa  https://t.co/nyib53PDK5,1
1364713,Toronto,"RT @Justin_Ling: A dense read, but incredibly interesting. https://t.co/Z6UoIB2j81",1
1364714,"Berkeley, California",7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/O29BxWapcO,1
1364715,,@juliettekayyem Another use of stochastic today!  By @zeynep  https://t.co/GqleMDpvtB,1
1364716,,Presidential debate reaction: Trump condemned over failure to criticise far-right group –  live https://t.co/GlmOxYEpwL,0
1364717,,"Germany can avoid another national lockdown, Merkel says, but warns of tough few months ahead https://t.co/xrCLOHz8sq",0
1364718,"London, England",https://t.co/YMUZ9wGFcH,0
1364719,,"RT @Love_Nature2020: 👇👇
https://t.co/NVeQnoVl7b",0
1364720,,@problem_we https://t.co/YsmmDBQR6c,0
1364721,East Texas,"Presidential debate reaction: Trump condemned over failure to criticise far-right group – live
https://t.co/1jBPPad9Vl",0
1364722,"Greenville, SC ","Follow ⁦@zeynep⁩ and other actual scientists on Twitter. Real, non-politicized pandemic info.  This thing is more complicated than the pundits would have us believe.

K: The Overlooked Variable That's Driving the Pandemic - The Atlantic https://t.co/eOoy4gRasz",1
1364723,,"This is great, and well explained by @zeynep 
1) Averages are misleading statistics
2) “It’s not always the restrictiveness of the rules, but whether they target the right dangers” https://t.co/hVor1mmj6Q",1
1364724,,"Our immigration policy and the President's reelection strategy are at cross purposes with the recovery of our cities from climate disasters &amp; #COVID19 and their return to prosperity.

34 Days. 

https://t.co/0OGb5GCtXy",1
1364725,Chicago,Columbia faculty move classes to Grant Park amid dispute over coronavirus protections  https://t.co/F3i5xbCoHb via @AdamLMahoney,1
1364726,,Maryland suburb steps up response to covid-19 in Latino communities https://t.co/hjKdp53mhq,1
1364727,,"Have you reached your breaking point?https://t.co/TdOhyvvnMl via @NPR
#childcare #caregiving #workingmoms",1
1364728,,RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364729,"Reykjavik, Iceland",'Close to 100% accuracy': Helsinki airport uses sniffer dogs to detect Covid https://t.co/AeBwF34dSG,0
1364730,London,"""To fight a super-spreading disease effectively, policy makers need to figure out why super-spreading happens, and they need to understand how it impacts everything, including our contact-tracing methods and our testing regimes."" Fascinating by @zeynep 
https://t.co/PiZCd7h1hh",1
1364731,,RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364732,,RT @Kellyk84471553: https://t.co/uzmQRrUznv,0
1364733,South Wales,"RT @ahddrv: The evil left-wing &gt;&gt;
Geneva to introduce minimum wage of £3,500 a month https://t.co/vd1xKizuxl",0
1364734,"South West, England",https://t.co/oHmewlK3us this is what is written on the WHO website. No vax = social alienation. This is bull and I rebuke it. This is NOT conspiracy this is what is going on. IMVOKE ARTICLE 61,0
1364735,,"RT @Free_Media_Hub: Coronavirus is out of control in Syria, no matter what the government says https://t.co/h6jVaTfWuG",1
1364736,,RT @Jimcorrsays: This is what is planned if YOU let them away with it https://t.co/9bc0Ybi2Qg,0
1364737,"Honolulu, HI",RT @carlzimmer: 7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/RR8rZfhYFG,1
1364738,,"In @BorisJohnson s Uk will spend hundred billion quid on companies like Serco coming up with same kinda Test what a #SpafferJohnson We have as PM &amp; @Keir_Starmer  ain’t far behind

Covid-19 tests that give results in minutes to be rolled out across world https://t.co/WGCLNfbI5N",0
1364739,Clitheroe Royal Grammar School,Government bows to pressure to let MPs vote on Covid restrictions https://t.co/FTaV6nQe7D Relations between Branches,0
1364740,United Kingdom 🇬🇧,"Government bows to pressure to let MPs vote on new coronavirus restrictions

Parliament to have say on new UK-wide or England-wide rules, after threat of rebellion

 https://t.co/WOKzVPiqdI",0
1364741,"NYC, California, Arizona",RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364742,,How the Trump administration squandered time and lost control of the coronavirus crisis - The Washington Post https://t.co/jUsYorNdn3,1
1364743,"Pittsburg, KS","RT @DNCWarRoom: Trump is once again ignoring experts and putting his ego ahead of public health.

https://t.co/wEcaOjUyEH",1
1364744,"Catskills, NY",RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364745,Washington DC,"The music of @amandashires and @JasonIsbell has been a salve during COVID time. I've watched so many livestreams, I'm pretty sure I know what their barn smells like. https://t.co/1n6LwdEMVD",1
1364746,Out of This World 👽,"RT @jupiterean: we really lost having british citizenship you know 
https://t.co/asHnkBfCvm",0
1364747,Cayman Islands,"This is a bit tough on the Steelers. Shorter turn around between games for them now. 

NFL postpones Titans-Steelers game until Monday or Tuesday after coronavirus outbreak
By Mark Maske

https://t.co/Yue6cVpq9t",1
1364748,UK,WATCH: London police slam woman to the ground during anti-lockdown protest in Trafalgar Square — RT UK News https://t.co/cKSoEJCdhm,0
1364749,,"Professor of Pharmacology and featured expert Stuart Ray @soupvector knows what he's doing 😷
Why health experts say 'we can't count on natural herd immunity' to curb COVID-19 https://t.co/bYHcYqyEMe",1
1364750,"Fort Valley, GA",RT @guardian: Germans embrace fresh air to ward off coronavirus https://t.co/J4HT5KabdA,0
1364751,"Dallas, TX","Don Jr's girlfriend Kimberley had COVID-19. So, Tiffany is feeling wanted. 
https://t.co/yoj2plMDDQ",1
1364752,Vale of Clwyd,"Utterly ridiculous to collapse an economy with lockdown.  We need to look at alternatives.  A local lockdown is still a blunt tool unfit for purpose.
https://t.co/VRClF8b3jG",0
1364753,"Los Angeles, CA","Fantastic article. One of the best 
by @zeynep
🔶 k value; measure of #Covid19 dispersion is more important than R0
🔶Backwards-tracing more accurate than forward-tracing
🔶How Japan's cluster buster approached worked
🔶Over-dispersion ?
#PedsICU @PIPSQC 

https://t.co/7tFfUtvXUd",1
1364754,,"Presidential debate reaction: Trump condemned over failure to criticise far-right group – live

https://t.co/H5mtnDNXgo",0
1364755,"New York, NY","#COVID19 survivors face many potential long-term consequences of the disease including widespread damage to blood vessels. 
https://t.co/Lei92Ks6c5",1
1364756,United States,"READ THIS &amp; VOTE BLUE 🌊for the PARTY that BELIEVES IN SCIENCE&amp;PUBLIC HEALTH PROGRAMS-Only DEMs will CONQUER COVID19&amp; BRING USA BACK
When we need public health most, our leaders are waging war against it -The Washington Post 🌊🌊🌊🌊🌊 https://t.co/xM3LNmtCse",1
1364757,,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364758,Europe,RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1364759,"Saint Albans, England","traitors should be all taking to traitors gate 
https://t.co/mPl5MLYpKi",0
1364760,,RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1364761,terran system earth,"‘Everybody dies’: Musk says neither he nor his family will take Covid-19 vaccine, blasts Bill Gates as ‘knucklehead’ — RT World News https://t.co/dgTNxkNCgy",0
1364762,,RT @doctorsoumya: https://t.co/pJviPEwJ8h,0
1364763,"Cal, Gary, Al, Berta","RT @Justin_Ling: A dense read, but incredibly interesting. https://t.co/Z6UoIB2j81",1
1364764,"Toronto | Guelph","Geneva to introduce minimum wage of £3,500 a month https://t.co/UpmB18ROxE",0
1364765,UK,RT @normanbowes33: More than 80 Tory MPs prepared to rebel over Coronavirus Act renewal https://t.co/nEVKmP0zow,0
1364766,,"No jab, no movement? UK MP pushes mandatory Covid-19 vaccination for travel, suggests army should oversee rollout — RT UK News https://t.co/wjgJkV3zD8",0
1364767,,Israel cracks down on protests under Covid-19 ‘emergency’ pretext as country extends lockdown https://t.co/EOPq3KxBMJ,0
1364768,STL,"In the pandemic, working parents — especially moms — are reaching a breaking point via @NPR https://t.co/NU07s8zkji",1
1364769,,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364770,"Washington, D.C.","FirstNet is plugging key broadband gaps during the pandemic, though there are lingering questions about how much it's narrowing the digital divide https://t.co/GtRJn2zMcC",1
1364771,,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364772,"Edmonton, Alberta, Canada","Germans are SO OBSESSED with ventilation that when I  started reading about the possibility of more widespread aerosol transmission of COVID, my first thought was ""well, Germany should be just fine!"" https://t.co/vcisujHVIB",0
1364773,"Edinburgh, Scotland","“It made sense to have a baseline measure of how prevalent Covid was within the community, rather than having all these people from across the country arriving on campus and then not knowing who is sick.” https://t.co/bCLAqJ6Eb4",0
1364774,Bedford,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364775,"Toronto, Ontario","Geneva to introduce minimum wage of £3,500 a month  https://t.co/doEj2AsZrf",0
1364776,,"@realDonaldTrump https://t.co/fPeEP1zoDm

https://t.co/JvXy6ugFQx

https://t.co/Plce6zQPVz

 https://t.co/QDI7YoogGE

 https://t.co/SeKYMvFEtj

You, ""sir,"" are lying.

Again.",1
1364777,"Massachusetts, USA",RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364778,"Pennsylvania, USA",@SenToomey @Temple_FB @PennStateFball @Pitt_FB Your party is undermining the FDA too. We should listen to you?! https://t.co/WrJPKJJ9pH,1
1364779,California,RT @davidminpdx: Twenty-four different prisons/jails have more than *1000* people infected with COVID-19. https://t.co/1r48RoLVQi https://t…,1
1364780,"Chicago, IL",RT @mitchtrout: Columbia faculty move classes to Grant Park amid dispute over coronavirus protections  https://t.co/F3i5xbCoHb via @AdamLMa…,1
1364781,Holstebro Denmark,RT @Andrew_Adonis: The highest minimum wage in the world? https://t.co/2xCyqz93kx,0
1364782,"Washington, DC","By now many people have heard about R0. But to really understand the mysteries of the pandemic, @zeynep writes, we need to think about a different variable: k. https://t.co/SYOYYJu7ij",1
1364783,"Chicago, IL","RT @MedillJR: What do you think about college classes in the park?! @AdamLMahoney covered them for the @Suntimes. 
https://t.co/zKJioQMJV7",1
1364784,Posts in personal capacity,RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364785,"Columbus, OH",RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364786,New York,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364787,"Colorado, USA",RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364788,"Tokyo, Japan","RT @guardiannews: Geneva to introduce minimum wage of £3,500 a month https://t.co/L6ICREYRTs",0
1364789,United Kingdom,RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364790,,"From ABC News:

New York City's positivity rate tops 3% amid 'alarming increase' in COVID-19 cases

https://t.co/qrecj4pwpd",1
1364791,,And if you want to learn more about Ventilation @zeynep's piece on Ventilation is a great explainer of what Ventilation does and its importance in combating COVID-19. https://t.co/ME5fI2OFAn,1
1364792,,.@masks4alluk @docjon55 @MattHancock @TheBMA @rcgp @TheLancetPH  Germans embrace fresh air to ward off coronavirus https://t.co/vQdi8DvnnP,0
1364793,Ottawa,"Geneva to introduce minimum wage of £3,500 a month https://t.co/fXcmZ3hfFQ",0
1364794,,Europe stays committed to in-person classes as school outbreaks remain rare https://t.co/WWR5BuXe21,1
1364795,London & Singapore,"Scott Thiel, fixed income chief investment strategist at @blackrock outlines why he believes the coronavirus pandemic has reinforced some inflationary risks on #StreetSignsEurope

https://t.co/VpRN5MdhXi",1
1364796,Nowhere,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364797,,RT @guardiannews: Tory council leader condemns PM's 'unacceptable' Covid restrictions https://t.co/IkYmbS8Q5W,0
1364798,Charlotte and Wilmington NC,7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/Q2iyH0TF5n,1
1364799,,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364800,United States,@PandaSkeptical We have released diplomatic cables: https://t.co/eyOJiGzDZc,1
1364801,INSANE DANGEROUS TRUMP LAND!,https://t.co/gPRn24cAZC,1
1364802,,"Covid in the U.S.: Latest Map and Case Count https://t.co/tyZrtDdVID 

As of Wednesday morning, more than 7,219,900 people in the United States have been infected with the coronavirus and at least 205,800 have died, according to a New York Times database.",1
1364803,Exeter/London,RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364804,Homes in MI & FL,RT @maggieNYT: The Pentagon funneled coronavirus relief funds to defense contractors - The Washington Post https://t.co/IT7FtwYwO3,1
1364805,"Connecticut, USA",Top US infectious disease expert Dr. Anthony Fauci calls some of Fox News' prime time coverage of the coronavirus 'outlandish' #SmartNews  https://t.co/5f622ZMo43,1
1364806,,Germans embrace fresh air to ward off coronavirus https://t.co/bWoOg3dmOb,0
1364807,,"https://t.co/U8BYWi6sdj
The BLM mob is harassing elderly white people in St Pete. Stop lying .",0
1364808,Belgrade,RT @Jimcorrsays: This is what is planned if YOU let them away with it https://t.co/9bc0Ybi2Qg,0
1364809,Washington DC & Virginia,"Synthetic antibody—aka monoclonal antibodies—are best bet for treatments. But they are pricey. Still need public health. #COVID19

“these are injectable drugs synthesized by living organisms in specialized reactors, at bio cadence that can’t be rushed.”
 https://t.co/SmE3j3YMBg",1
1364810,Available via #SourceConnect,"SNL is back this weekend with Jim Carrey as Joe Biden, Chris Rock as host and a whole lot of restrictions. Here’s what to expect. https://t.co/vINFmMqMXT",1
1364811,"Sherbrooke, Québec",RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364812,,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364813,United States,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364814,Canada,RT @Jimcorrsays: This is what is planned if YOU let them away with it https://t.co/9bc0Ybi2Qg,0
1364815,"Athens, Greece.",Coronavirus live news: Italian senate suspended as lawmakers test positive; Covid travel slump could cost 46m jobs https://t.co/Dklu6PGXUM,0
1364816,Vancouver,Germans embrace fresh air to ward off coronavirus https://t.co/ybXxW5I6G0,0
1364817,,https://t.co/i85xxMipnz,0
1364818,,"Geneva voted introduction of a minimum wage of £3,500 a month 
https://t.co/09soqPJTlh",0
1364819,"Liverpool, EUROPE!",RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364820,,RT @RadCentrism: @PandaSkeptical We have released diplomatic cables: https://t.co/eyOJiGzDZc,1
1364821,"Athens, Greece.",'Only time will tell': Russia places huge bet on Covid vaccine https://t.co/55Ap4bKbuS,0
1364822,"Denver, CO","Absurd. The standard for paying private companies millions of $$ in the midst of a pandemic ought not be ""we have no other PIs."" It's oseltamivir all over agaim. 

Remdesivir may not cure coronavirus, but it’s on track to make billions for Gilead https://t.co/Wz85OGc1Ck",1
1364823,Everywhere,Government bows to pressure to let MPs vote on Covid restrictions https://t.co/8ypzJimaGR,0
1364824,"Toronto, Canada",https://t.co/AG00kP0iom,1
1364825,,RT @guardian: Two universities welcomed students on campus. Only one tested for Covid-19 https://t.co/LXIdencx2n,0
1364826,"London, England","@AsmundsonJason I've been reporting on #longcovid and #longhaulers, happy to direct you to more solid pieces of journalism: https://t.co/lBHN0E0o9A And this for starters: https://t.co/oKofT5Ya9C",1
1364827,"Las Vegas, NV",CDC's Halloween Guidelines Warn Against Typical Trick-Or-Treating https://t.co/OWnlam8RIk,1
1364828,Latvia,"Pamatots &amp; interesants raksts par kādu Covid-19 fenomenu: ""vien 10-20% no inficētajiem ir atbildīgi par 80-90% tālāko inficēšanās gadījumu; lielākā daļa inficēto nenodod to tālāk"".
https://t.co/WwSFNRaCAo",1
1364829,Sheffield,Care home coronavirus outbreaks cast doubt on official PHE data https://t.co/E5345S6aDx,0
1364830,"Connecticut, USA",Florida reported a spike in COVID-19 cases just days after allowing restaurants and small businesses to fully reopen #SmartNews  https://t.co/rQZdwGcEzB,1
1364831,Tokyo,RT @guardian: Germans embrace fresh air to ward off coronavirus https://t.co/J4HT5KabdA,0
1364832,,"@DonaldJTrumpJr No, this election is about ousting a lying, hate-mongering autocrat from OUR house.

https://t.co/fPeEP1zoDm

https://t.co/JvXy6ugFQx

https://t.co/Plce6zQPVz

 https://t.co/QDI7YoogGE

 https://t.co/SeKYMvFEtj",1
1364833,VT,@JaneLindholm The contact tracing implications of this @zeynep article &lt;https://t.co/aSc07wC0kD&gt; are very interesting. I am curious If Dr. Levine had already been factoring retrospective contact tracing into VT's strategy?,1
1364834,"St. Louis, MO USA","""The most conclusive evidence shows it reduces hospital stays from 15 to 11 days but does not significantly reduce the odds of dying of the coronavirus."" https://t.co/K01NeJquO4",1
1364835,"Ottawa, Ontario,Canada","RT @MsAngelineTW: Geneva to introduce minimum wage of £3,500 a month  https://t.co/doEj2AsZrf",0
1364836,"Chicago, IL ✶✶✶✶","A key point from this great piece on vaccine concerns: Speed is not the be-all, end-all: ""the first COVID-19 vaccine may not ultimately be the most important COVID-19 vaccine."" https://t.co/faHNsh5hol",1
1364837,South Africa,RT @Jimcorrsays: This is what is planned if YOU let them away with it https://t.co/9bc0Ybi2Qg,0
1364838,"Sycamore, IL","This is absolutely fascinating. 

""It’s not always the restrictiveness of the rules, but whether they target the right dangers."" 

On cluster-busting, super-spreader events, keys to what may cause them, and what could be done to prevent them.

https://t.co/8wzLbLtaFQ",1
1364839,,https://t.co/SHjsnltEuB,1
1364840,,RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364841,Romsey,Always felt hermetically sealed double glazed houses were unhealthy. https://t.co/7REXik2wlr,0
1364842,"New York , New York","Disney lays off 28,000 as coronavirus slams its theme-park business https://t.co/oFcgSd5nhD",1
1364843,Manchester,"This is so German and I love it. Anyone who has lived there knows the German obsession with “lüften”, ventilation.  It’s often written into rental contracts that you have to open windows every day and now Merkel is almost making lüften a national duty.  https://t.co/NyCZVjScX2",0
1364844,switzerland,"Thrilled to see voters of Geneva support a minimum wage of £3,500 a month.  2/3 of the 30,000 people who will benefit are women, many offering essential services, including workers in care and food services.  Thanks to @unia  for leading the campaign.  https://t.co/Bhup0HV4BN",0
1364845,"Pennsylvania, USA","Trump campaign is literally killing people with its ignorance as it plans mass events in Wisconsin, while White House task force calls for social distancing. https://t.co/JDp5HPdhVE",1
1364846,"Doylestown, PA",@Whhaymd @TheFinalSteve76 @triplesilk @DonaldJ48630478 @Death_is_final @Arkancideisreal @LatulippeSteven @Flying_Shadowz @NastyBobUSA @lswelk @MajorPatriot @KeithSGwd @NRGTribe @Plony15 @KillAuDeepState @copdoc1 @Phreadys “This would be an ad hominem attack. Please discuss the study instead of throwing indirect mud on the author.”https://t.co/KkVFUHAjln https://t.co/dGNRxInJuH,0
1364847,ORL United States,"#Florida
#DeathSantis

https://t.co/5h1sc2cpnj",1
1364848,,"""Experts say the hotel industry may not return to pre-pandemic levels until 2023. Hospitality workers are bearing the brunt of this long downturn."" https://t.co/uyqvJO18wF",1
1364849,London,"interesting and informative piece from @zeynep on how covid transmits mostly via occasional ""superspreader"" events, and how this might inform the response to the virus https://t.co/LgvaZ5vWbo",1
1364850,United States,7 former FDA commissioners: The Trump administration is undermining the credibility of the FDA https://t.co/StLat3phuH,1
1364851,"Atlanta, GA","@TeamPerdue @Perduesenate You balanced your portfolio while downplaying COVID-19 to your constituents. You knew.

https://t.co/FR6Lz4nruH

#bloodmoney #corruption",1
1364852,,FAQ: What you need to know about masks and covid-19 https://t.co/b9QtqYpr7B,1
1364853,ENGLAND,"RT @cl155y: wake up sheeple, you are about to lose you civil liberties 

https://t.co/jrl54X8TtA",0
1364854,European Union,RT @chrischirp: Great initiative from Germany https://t.co/nN1NvzkpIv,0
1364855,,K: The Overlooked Variable That's Driving the Pandemic - The Atlantic https://t.co/jAWIAGqyrL,1
1364856,EUI Gimbernat,Germans embrace fresh air to ward off coronavirus https://t.co/RmUMjSiguC,0
1364857,"Devizes, England","Geneva to introduce minimum wage of £3,500 a month https://t.co/pSgBNkjEGD",0
1364858,,Top US infectious disease expert Dr. Anthony Fauci calls some of Fox News' prime time coverage of the coronavirus 'outlandish' #SmartNews #DUH https://t.co/tUOhNr6ocH,1
1364859,"Washington, DC","Don Jr.'s girlfriend was diagnosed w/ Covid-19 a while back. The family doesn't take Covid-19 seriously, neither does the President, which is why we've lost 200,000 people to the virus &amp; have 7 million infected. It's also why many kids are homeschooling. 
https://t.co/LajjBlEXuH",1
1364860,,RT @Cleavon_MD: CDC director takes aim at Trump's Covid adviser: 'Everything he says is false'  https://t.co/yfOjdnAVgo,0
1364861,"Washington, DC",Tensions between 3 nuclear-armed powers are rising toward the boiling point  https://t.co/acTRX58hDy   #Military #Defense #KnowYourMil #Army #Navy #AirForce #Marines #News #COVID19 #Coronavirus #AI #Technology #CyberSecurity  #Veteran #DARPA #War,1
1364862,United Kingdom (Hearts),"RT @jupiterean: we really lost having british citizenship you know 
https://t.co/asHnkBfCvm",0
1364863,"Washington, DC",Coronavirus live news: Italian senate suspended as lawmakers test positive; Covid travel slump could cost 46m jobs https://t.co/KAwKqmrNKp,0
1364864,,"@GavinNewsom @JoeBiden NPR: Florida's Governor Lifts All COVID-19 Restrictions On Businesses Statewide
NPR: Florida's Governor Lifts All COVID-19 Restrictions On Businesses Statewide.
https://t.co/0Y7tqeVw5i",1
1364865,,"Taking the Superspreader Express to a Red Zone.
Trump plans big Wisconsin rallies despite White House task force calls for ‘maximal’ social distancing in the state https://t.co/4PWROWNEmm",1
1364866,Seattle,'This Is Too Much': Working Moms Are Reaching The Breaking Point During The Pandemic https://t.co/xDR9wEntpE,1
1364867,,"Merkel affirme que la ventilation peut être l'un des moyens les moins chers et les plus efficaces de contenir le virus
@alain_berset @BAG_OFSP_UFSP
@itosettiMD_MBA @AllamanSeb
@samiahurst @eggersnsf @FLAHAULT 
@MauroPoggia 
@RTSinfo @LeTemps 

https://t.co/V0SYALkYkg",0
1364868,los angeles,Plan to solve Florida's non-existent protest problem is pure 'mini-Trump' https://t.co/ZztxNHpzu5,0
1364869,United Kingdom,Scientists work on nasal spray that could stop Covid virus replicating https://t.co/hPmMqyYcWS via @NicolaKSDavis,0
1364870,NY STREETS ,"Sweden spared European surge as coronavirus infections stay low | World news | The Guardian ⁦@louie4me⁩ is it #herdImmunity TY #China for taking down economies especially the on 🔥 one of @realDonaldTrump ⁦@CDCgov⁩ ⁦@DrGuptaSanjay⁩  https://t.co/D1SYv9zwvT",0
1364871,Kiel,"RT @visitnorway: As the Norwegians say: “There is no such thing as bad weather, only bad clothes.” 

https://t.co/nJPIyRIVnj
via @guardian…",0
1364872,Toronto,RT @acoyne: K: The Overlooked Variable That's Driving the Pandemic - The Atlantic https://t.co/jAWIAGqyrL,1
